Authors,Reference,Year published,Report type,Country of study,Ocean,Region,Study type,Years of data,Focus species Common Name,Other Species,"Life stage studied (Adult, Juvenile, Larval, Egg)",Temperature information recorded,Depth distribution information was recorded,Role in ecosystem: Predator species identified,Role in ecosystem: Prey species identified,Sampling gear used,Hydroacoustic frequency,StockStructure,Distribution_DataType,Distribution_DistributionHabitatUse,GrowthLifeHistory_MassOrSize,GrowthLifeHistory_Condition,GrowthLifeHistory_Foraging,GrowthLifeHistory_Other,Survival_Survival&Mortality,Performance_Stress,Performance_Energy,Performance_Swimming,Performance_Other,Migration_Spawning,Migration_Other,Reproduction_Maturation,Reproduction_Spawning,Reproduction_EggAbundance,Reproduction_EggSizeOrWeight,Reproduction_Fecundity,Reproduction_Other,Productivity_BiomassOrAbundance,Productivity_Recruitment,Productivity_Other,URL,DFO_Region,,,,
DFO,DFO. 2020. Review of Arctic Cod (Boreogadus saida) bycatch in Canadian Arctic Shrimp Fisheries. DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2020/007,2020,organization report,Canada,Arctic,"Nunavut, Nunavut, Nunavik",other,> 5 years,Arctic Cod,no,"Adult, Juvenile, Larval",no,no,yes,yes,not specified,NA,NA,standardized biomass,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctic,,,,
"Altman, I., Roman, J., Kaufman, L., Fogarty, M.J., Mccarthy, J.J., Boumans, R., and Gopal, S.","Altman, I., Roman, J., Kaufman, L., Fogarty, M.J., Mccarthy, J.J., Boumans, R., and Gopal, S. 2014. An ecosystem accounting framework for marine ecosystem-based management in the Sea Chapter 9. An Ecosystem Accounting Framework for Marine Ecosystem-Based Management. In The Sea. Available from https://www.researchgate.net/publication/262674557 [accessed 26 October 2020].",2014,book chapter,USA,Atlantic,NA,ecosystem,> 5 years,sand lances,yes,not specified,no,no,yes,no,"bottom trawl, gillnets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other human pressures, predators",NA,NA,NA,NLMar,,,,
"Altman, I., Roman, J., Kaufman, L., Fogarty, M.J., Mccarthy, J.J., Boumans, R., and Gopal, S.","Altman, I., Roman, J., Kaufman, L., Fogarty, M.J., Mccarthy, J.J., Boumans, R., and Gopal, S. 2014. An ecosystem accounting framework for marine ecosystem-based management in the Sea Chapter 9. An Ecosystem Accounting Framework for Marine Ecosystem-Based Management. In The Sea. Available from https://www.researchgate.net/publication/262674557 [accessed 26 October 2020].",2014,book chapter,USA,Atlantic,NA,ecosystem,> 5 years,Atlantic Herring,yes,not specified,no,no,yes,no,bottom trawl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fisheries,NA,NA,NA,NLMar,,,,
"Beacham, T.D., Hay, D.E., and Le, K.D.","Beacham, T.D., Hay, D.E., and Le, K.D. 2005. Population Structure and Stock Identification of Eulachon (Thaleichthys pacificus), an Anadromous Smelt, in the Pacific Northwest. Mar. Biotechnol. 7(4): 363–372. Department of Fisheries and Oceans, Pacific Biological Station, Nanaimo, B. C., V9T 6N7, Canada. doi:http://dx.doi.org/10.1007/s10126-004-4075-0.",2005,journal paper,"Canada, USA",Pacific,"BC, Alaska","stock structure, distribution",> 5 years,Eulachon,no,Adult,no,no,no,no,"bottom trawl, not specified",NA,genetics,DNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://link.springer.com/article/10.1007/s10126-004-4075-0,Pacific,,,,
DFO,DFO. 2014. 4VWX Herring 2014 Update Report. DFO Can. Sci. Advis. Sec. Sci. Resp. 2014/029.,2014,organization report,Canada,Atlantic,"Scotian Shelf (Divs. 4VWX), Bay of Fundy",stock assessment,1 year,Atlantic Herring,no,"Adult, Juvenile",no,no,no,no,"hydroacoustics, purse seine, gillnets, trap, weir",NA,NA,"standardized abundance, catch",NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Faber, D.J.","Faber, D.J. 1976. Hyponeustonic fish larvae in the Northumberland Strait during summer 1962. J. Fish. Res. Board Canada 33(5): 1167–1174. Canadian Oceanogr.Identification Cent., Natl.Mus.Nat.Sci., Ottawa, Ont., KIA OM8, Canada. Available from http://search.proquest.com.ezproxy.library.uvic.ca/docview/17969540?accountid=14846.",1976,journal paper,Canada,Atlantic,Southern Gulf of St. Lawrence,"ecosystem, life history",1 year,Atlantic Herring,yes,Larval,yes,no,no,no,plankton net,NA,NA,NA,temperature,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,temperature,NA,QueGul,,,,
"Faber, D.J.","Faber, D.J. 1976. Hyponeustonic fish larvae in the Northumberland Strait during summer 1962. J. Fish. Res. Board Canada 33(5): 1167–1174. Canadian Oceanogr.Identification Cent., Natl.Mus.Nat.Sci., Ottawa, Ont., KIA OM8, Canada. Available from http://search.proquest.com.ezproxy.library.uvic.ca/docview/17969540?accountid=14846.",1976,journal paper,Canada,Atlantic,Southern Gulf of St. Lawrence,"ecosystem, life history",1 year,Atlantic Mackerel,yes,Larval,yes,no,no,no,plankton net,NA,NA,NA,temperature,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,temperature,NA,QueGul,,,,
"Faber, D.J.","Faber, D.J. 1976. Hyponeustonic fish larvae in the Northumberland Strait during summer 1962. J. Fish. Res. Board Canada 33(5): 1167–1174. Canadian Oceanogr.Identification Cent., Natl.Mus.Nat.Sci., Ottawa, Ont., KIA OM8, Canada. Available from http://search.proquest.com.ezproxy.library.uvic.ca/docview/17969540?accountid=14846.",1976,journal paper,Canada,Atlantic,Southern Gulf of St. Lawrence,"ecosystem, life history",1 year,sand lances,yes,Larval,yes,no,no,no,plankton net,NA,NA,NA,temperature,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,temperature,NA,QueGul,,,,
"Grégoire, F.","Grégoire, F. 1993. (Biological characteristics of blue mackerel (Scomber scombrus L.) sampled along the Canadian coasts between 1983 and 1991.). TT - Caracteristiques biologiques du maquereau bleu (Scomber scombrus L.) echantillonne le long des cotes canadiennes entre 1983. Fish and Fisheries Oceanography Division, Mont-Joli, Quebec. Available from https://www.proquest.com/docview/16488291?accountid=27308.",1993,organization report,Canada,Atlantic,Atlantic Canada (all 6 Eastern Canada regions included in study),life history,> 5 years,Atlantic Mackerel,no,"Adult, Juvenile",no,no,no,no,not specified,NA,NA,NA,NA,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,QueGul,,,,
"Hanson, J.M., and Courtenay, S.C. 2","Hanson, J.M., and Courtenay, S.C. 2020. Data Recovery from Old Filing Cabinets: Seasonal Diets of the Most Common Demersal Fishes in the Miramichi River Estuary (Atlantic Canada), 1991-1993. Northeast. Nat. 27(3): 401–433. Northeastern Naturalist, Science Branch, Gulf Fisheries Centre, Fisheries and Ocean Canada, PO Box 5030, Moncton, NB E1C 9B6, Canada<U+202F>; Science Branch, Gulf Fisheries Centre, Fisheries and Ocean Canada, PO Box 5030, Moncton, NB E1C 9B6, Canada. Current address - School of Environm. Available from https://www.proquest.com/scholarly-journals/data-recovery-old-filing-cabinets-seasonal-diets/docview/2447004997/se-2?accountid=27308.",2020,journal paper,Canada,Atlantic,Southern Gulf of St. Lawrence,ecosystem,< 5 years,Atlantic Herring,yes,"Juvenile, Adult",no,no,yes,no,"bottom trawl, trap, predator",NA,NA,"other , catch",not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Hanson, J.M., and Courtenay, S.C. 2","Hanson, J.M., and Courtenay, S.C. 2020. Data Recovery from Old Filing Cabinets: Seasonal Diets of the Most Common Demersal Fishes in the Miramichi River Estuary (Atlantic Canada), 1991-1993. Northeast. Nat. 27(3): 401–433. Northeastern Naturalist, Science Branch, Gulf Fisheries Centre, Fisheries and Ocean Canada, PO Box 5030, Moncton, NB E1C 9B6, Canada<U+202F>; Science Branch, Gulf Fisheries Centre, Fisheries and Ocean Canada, PO Box 5030, Moncton, NB E1C 9B6, Canada. Current address - School of Environm. Available from https://www.proquest.com/scholarly-journals/data-recovery-old-filing-cabinets-seasonal-diets/docview/2447004997/se-2?accountid=27308.",2020,journal paper,Canada,Atlantic,Southern Gulf of St. Lawrence,ecosystem,> 5 years,sand lances,yes,not specified,no,no,yes,no,"bottom trawl, predator",NA,NA,"other , catch",not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Hanson, J.M., and Courtenay, S.C. 2","Hanson, J.M., and Courtenay, S.C. 2020. Data Recovery from Old Filing Cabinets: Seasonal Diets of the Most Common Demersal Fishes in the Miramichi River Estuary (Atlantic Canada), 1991-1993. Northeast. Nat. 27(3): 401–433. Northeastern Naturalist, Science Branch, Gulf Fisheries Centre, Fisheries and Ocean Canada, PO Box 5030, Moncton, NB E1C 9B6, Canada<U+202F>; Science Branch, Gulf Fisheries Centre, Fisheries and Ocean Canada, PO Box 5030, Moncton, NB E1C 9B6, Canada. Current address - School of Environm. Available from https://www.proquest.com/scholarly-journals/data-recovery-old-filing-cabinets-seasonal-diets/docview/2447004997/se-2?accountid=27308.",2020,journal paper,Canada,Atlantic,Southern Gulf of St. Lawrence,other,< 5 years,Atlantic Mackerel,yes,not specified,no,no,no,no,bottom trawl,NA,NA,catch,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Benson, I.M., Kastelle, C.R., Helser, T.E., Short, J.A., and Anderl, D.M.","Benson, I.M., Kastelle, C.R., Helser, T.E., Short, J.A., and Anderl, D.M. 2019. Age interpretation in eulachon (Thaleichthys pacificus) as suggested by otolith microchemical signatures. Environ. Biol. Fishes 102(4): 629–643. Springer Nature B.V., Resource Ecology and Fisheries Management, Alaska Fisheries Science Center, National Marine Fisheries Service, NOAA, Seattle, WA, USA<U+202F>; Resource Ecology and Fisheries Management, Alaska Fisheries Science Center, National Marine Fisheries Service, NOAA, Se. doi:http://dx.doi.org/10.1007/s10641-019-00858-7.",2019,journal paper,USA,Pacific,"Washington, Oregon, or California, Alaska",stock structure,> 5 years,Eulachon,no,Adult,no,no,no,no,"bottom trawl, commercial bottom trawl",NA,otoliths,"age, other , size",NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://link.springer.com/article/10.1007%2Fs10641-019-00858-7,Pacific,,,,
"D’Auteuil, I., and Gregoire, F.","D’Auteuil, I., and Gregoire, F. 1993. (Histological description of oocyte development in the Gulf of St. Lawrence Atlantic mackerel (Scomber scombrus L.).). TT - Description histologique du developpement des ovocytes chez le maquereau bleu (Scomber scombrus L.) du golfe du Saint-Laurent. Ministère des Pêches et des Océans, Mont-Joli, Québec U6 - ctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&rft.genre=book&rft.title=Description+histologique+du+d%C3%A9veloppement+des+ovocyt. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/148077.pdf.",1993,organization report,Canada,Atlantic,"West Atlantic (Canada + USA East coasts), Southern Gulf of St. Lawrence, Northern Gulf of St. Lawrence, Scotian Shelf (Divs. 4VWX), Bay of Fundy",life history,1 year,Atlantic Mackerel,no,"Adult, Juvenile",no,no,no,no,gillnets,NA,NA,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Hanson, J.M.","Hanson, J.M. 2020. Diet of Striped Bass in the Southern Gulf of St. Lawrence (Canada) with Emphasis on the Spring Spawning Aggregation. Northeast. Nat. 27(3): 381–400. Northeastern Naturalist, Science Branch, Gulf Fisheries Centre, PO Box 5030, Moncton, NB, E1C 9B6, Canada<U+202F>; Science Branch, Gulf Fisheries Centre, PO Box 5030, Moncton, NB, E1C 9B6, Canada. Available from https://www.proquest.com/scholarly-journals/diet-striped-bass-southern-gulf-st-lawrence/docview/2447004513/se-2?accountid=27308.",2020,journal paper,Canada,Atlantic,Southern Gulf of St. Lawrence,ecosystem,< 5 years,Atlantic Herring,yes,not specified,no,no,yes,no,predator,NA,NA,other,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Hanson, J.M.","Hanson, J.M. 2020. Diet of Striped Bass in the Southern Gulf of St. Lawrence (Canada) with Emphasis on the Spring Spawning Aggregation. Northeast. Nat. 27(3): 381–400. Northeastern Naturalist, Science Branch, Gulf Fisheries Centre, PO Box 5030, Moncton, NB, E1C 9B6, Canada<U+202F>; Science Branch, Gulf Fisheries Centre, PO Box 5030, Moncton, NB, E1C 9B6, Canada. Available from https://www.proquest.com/scholarly-journals/diet-striped-bass-southern-gulf-st-lawrence/docview/2447004513/se-2?accountid=27308.",2020,journal paper,Canada,Atlantic,Southern Gulf of St. Lawrence,ecosystem,< 5 years,sand lances,yes,not specified,no,no,yes,no,predator,NA,NA,other,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Richards, S.W.","Richards, S.W. 1976. Mixed species schooling of postlarvae of Ammodytes hexapterus and Clupea harengus harengus. J. Fish. Res. Board Canada 33(4,pt.1): 843–844. Little Harbor Lab., Inc., Guilford, CT 06437, USA.",1976,journal paper,Canada,Atlantic,Southern Gulf of St. Lawrence,"life history, ecosystem",1 year,Atlantic Herring,yes,Juvenile,no,no,no,no,"beach seine, bottom trawl",NA,NA,NA,competitors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Richards, S.W.","Richards, S.W. 1976. Mixed species schooling of postlarvae of Ammodytes hexapterus and Clupea harengus harengus. J. Fish. Res. Board Canada 33(4,pt.1): 843–844. Little Harbor Lab., Inc., Guilford, CT 06437, USA.",1976,journal paper,Canada,Atlantic,Southern Gulf of St. Lawrence,"life history, ecosystem",1 year,sand lances,yes,Juvenile,no,no,no,no,"beach seine, bottom trawl",NA,NA,NA,competitors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Sinclair M., Iles, T. D.","Sinclair, M., Iles, T. D. 1981 Assessment of the 1980 4WX herring fishery CAFSAC 81/10",1981,organization report,Canada,Atlantic,"Scotian Shelf (Divs. 4VWX), Bay of Fundy",stock assessment,1 year,Atlantic Herring,no,"Adult, Juvenile, Larval",no,no,no,no,"purse seine, weir, gillnets, trap",NA,NA,"catch, standardized abundance",NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Turanov, S.","Turanov, S. 2019. The Assembly and Analysis of a Reference Library Based on the Mitochondrial COI Gene Nucleotide Sequences for Delimitation of Sand Lance Species (Uranoscopiformes: Ammodytidae) from the Northern Hemisphere. Russ. J. Mar. Biol. 45(1): 40–46. Available from https://link.springer.com/content/pdf/10.1134/S1063074019010103.pdf [accessed 26 October 2020].",2019,journal paper,Canada,Atlantic,"Newfoundland and Labrador shelf ecosystem (Divs. 2GHJ3KL), Southern Newfoundland (Divs. 3NOPs), Scotian Shelf (Divs. 4VWX)",other,< 5 years,sand lances,no,not specified,no,no,no,no,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Walkusz, W., Atchison, S., Hedges, K., & Deslauriers, D.","Walkusz, W., Atchison, S., Hedges, K., & Deslauriers, D. (2019). Assessment of potential impacts of bycatch mortality on the Arctic Cod (Boreogadus saida) populations from the Northern (Pandalus borealis) and Striped (Pandalus montagui) Shrimp fisheries in Shrimp Fishing Areas 1, 2, and 3. Canadian Science Advisory Secretariat Research Document, 73(January), 1–8.",2019,organization report,Canada,Arctic,Nunavut,"ecosystem, stock assessment",> 5 years,Arctic Cod,no,"Juvenile, Larval",no,no,yes,yes,not specified,NA,NA,catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,NA,NA,Arctic,,,,
"Brodziak, J., Legault, C., Col, L., and Overholtz, W.","Brodziak, J., Legault, C., Col, L., and Overholtz, W. 2004. Estimation of demersal and pelagic species biomasses in the northeast USA continental shelf ecosystem. Ices C. Available from https://www.ices.dk/sites/pub/CM Doccuments/2004/FF/FF0704.pdf [accessed 26 October 2020].",2004,journal paper,"Canada, USA",Atlantic,West Atlantic (Canada + USA East coasts),distribution,< 5 years,sand lances,yes,not specified,yes,no,yes,no,bottom trawl,NA,NA,standardized biomass,temperature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,predators,NA,NA,NA,NLMar,,,,
"Brodziak, J., Legault, C., Col, L., and Overholtz, W.","Brodziak, J., Legault, C., Col, L., and Overholtz, W. 2004. Estimation of demersal and pelagic species biomasses in the northeast USA continental shelf ecosystem. Ices C. Available from https://www.ices.dk/sites/pub/CM Doccuments/2004/FF/FF0704.pdf [accessed 26 October 2020].",2004,journal paper,"Canada, USA",Atlantic,West Atlantic (Canada + USA East coasts),distribution,< 5 years,Atlantic Herring,yes,not specified,yes,no,no,no,commercial bottom trawl,NA,NA,catch,temperature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,temperature,NA,NA,NA,NLMar,,,,
"Brodziak, J., Legault, C., Col, L., and Overholtz, W.","Brodziak, J., Legault, C., Col, L., and Overholtz, W. 2004. Estimation of demersal and pelagic species biomasses in the northeast USA continental shelf ecosystem. Ices C. Available from https://www.ices.dk/sites/pub/CM Doccuments/2004/FF/FF0704.pdf [accessed 26 October 2020].",2004,journal paper,"Canada, USA",Atlantic,West Atlantic (Canada + USA East coasts),distribution,< 5 years,Atlantic Mackerel,yes,not specified,yes,no,no,no,commercial bottom trawl,NA,NA,catch,temperature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,temperature,NA,NA,NA,NLMar,,,,
"Brosset, P., Doniol-Valcroze, T., Swain, D.P., Lehoux, C., Van Beveren, E., Mbaye, B.C., Emond, K., and Plourde, S.","Brosset, P., Doniol-Valcroze, T., Swain, D.P., Lehoux, C., Van Beveren, E., Mbaye, B.C., Emond, K., and Plourde, S. 2019. Environmental variability controls recruitment but with different drivers among spawning components in Gulf of St. Lawrence herring stocks. Fish. Oceanogr. 28(1): 1–17. Wiley Online Library. Available from https://onlinelibrary.wiley.com/doi/epdf/10.1111/fog.12272.",2019,journal paper,Canada,Atlantic,"Northern Gulf of St. Lawrence, Southern Gulf of St. Lawrence","ecosystem, stock structure, life history",> 5 years,Atlantic Herring,no,"Juvenile, Adult",no,no,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,"density dependence, predators, zooplankton (secondary productivity), temperature, ice, phytoplankton (primary productivity), Climate (NAO, NPGO, etc), competitors, transport (currents, etc)",NA,NA,QueGul,,,,
DFO,DFO. 2016. 4VWX Herring 2016 Update Report. DFO Can. Sci. Advis. Sec. Sci. Resp. 2016/036.,2016,organization report,Canada,Atlantic,"Scotian Shelf (Divs. 4VWX), Bay of Fundy",stock assessment,1 year,Atlantic Herring,no,"Adult, Juvenile",no,no,no,no,"hydroacoustics, purse seine, gillnets, trap, weir",NA,NA,"standardized abundance, catch",NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLMar,,,,
"Grégoire, F., Dionne, H., and Lévesque, C.","Grégoire, F., Dionne, H., and Lévesque, C. 1994. [Fat content in Atlantic mackerel (Scomber scombrus L.) in 1991 and 1992.] TT - Contenu en gras chez la maquereau bleu (Scomber scombrus L.) en 1991 et 1992. In Canadian Industry Report of Fisheries and Aquatic Sciences [RAPP. CAN. IND. SCI. HALIEUT. AQUAT.]. no. 220, 79 pp. 1994. Fisheries Science Branch, Mont-Joli, Quebec. Available from https://cat.fsl-bsf.scitech.gc.ca/record=b3905673~S1.",1994,organization report,Canada,Atlantic,"Southern Gulf of St. Lawrence, Northern Gulf of St. Lawrence","life history, distribution",< 5 years,Atlantic Mackerel,no,"Adult, Juvenile",no,no,no,no,not specified,NA,NA,"size, age, other",NA,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Hodder, V.M. and Winters, G.H.","Hodder, V.M. and Winters, G.H. 1972. Distribution and size of larval herring and capelin, southern Gulf of St. Lawrence and southwestern Newfoundland, November 1969 and 1970. Biological Station, Fisheries Research Board of Canada, St. John’s, Nfld. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/28625.pdf.",1972,organization report,Canada,Atlantic,"Southern Gulf of St. Lawrence, Southern Newfoundland (Divs. 3NOPs)","distribution, life history",< 5 years,Atlantic Herring,yes,Larval,no,no,no,no,plankton net,NA,NA,standardized abundance,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Hodder, V.M. and Winters, G.H.","Hodder, V.M. and Winters, G.H. 1972. Distribution and size of larval herring and capelin, southern Gulf of St. Lawrence and southwestern Newfoundland, November 1969 and 1970. Biological Station, Fisheries Research Board of Canada, St. John’s, Nfld. Available from https://waves-vagues.dfo-mpo.gc.ca/Library/28625.pdf.",1972,organization report,Canada,Atlantic,"Southern Gulf of St. Lawrence, Southern Newfoundland (Divs. 3NOPs)","distribution, life history",< 5 years,Capelin,yes,Larval,no,no,no,no,plankton net,NA,NA,standardized abundance,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QueGul,,,,
"Richards, S.W.","Richards, S.W. 1982. Aspects of the Biology of Ammodytes americanus from the St. Lawrence River to Chesapeake Bay, 1972-75, Including a Comparison of the Long Island Sound Post larvae with Ammodytes dubius. J. Northwest Atl. Fish. Sci. 3(2): 93–104. Northwest Atlantic Fisheries Org, Little Harbor Lab., Inc., 69 Andrews Rd., Guilford, CT 06437, USA. Available from https://journal.nafo.int/Volumes/Articles/ID/22/Aspects-of-the-Biology-of-emAmmodytes-americanusem-from-the-St-Lawrence-River-to-Chesapeake-Bay-1972-75-Including-a-Comparison-of-the-Long-Island-Sound-Post-larvae-with-Ammodytes-dubius.",1982,journal paper,USA,Atlantic,"West Atlantic (Canada + USA East coasts), Scotian Shelf (Divs. 4VWX), Northern Gulf of St. Lawrence",life history,> 5 years,sand lances,no,Juvenile,no,no,no,yes,"bottom trawl, beach seine, not specified, other",NA,other,"size , other",not linked to a pressure,not linked to a pressure,not linked to a pressure,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,not linked to a pressure,not linked to a pressure,NA,NA,not linked to a pressure,NA,NA,NA,NA,NA,QueGul,,,,
"Stenson, G. B., & Perry, E.","Stenson, G. B., & Perry, E. (2001). Incorporating uncertainty into estimates of Atlantic cod, capelin and Arctic cod consumption by harp seals in NAFO Divisions 2J3KL. Can. Sci. Adv. Sec. Res. Doc. 2001/074. Retrieved from http://www.dfo-mpo.gc.ca/CSAS/Csas/DocREC/2001/RES2001_074e.pdf; https://waves-vagues.dfo-mpo.gc.ca/Library/261739.pdf",2001,organization report,Canada,Arctic,"Greenland, Baffin Bay",ecosystem,> 5 years,Capelin,yes,not specified,no,no,yes,no,predator,NA,NA,other,not linked to a pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctic,,,,
Alaska Energy Authority,"Alaska Energy Authority. 2014. Eulachon Run Timing, Distribution, and Spawning in the Susitna River. Available from http://www.susitna-watanahydro.org/wp-content/uploads/2014/01/09.16_EUL_ISR_Draft.pdf.",2014,organization report,USA,Pacific,Alaska,"distribution, migration, ecosystem, life history, performance",< 5 years,Eulachon,no,Adult,yes,yes,no,no,"hydroacoustics, tagging, dipnet, other",210,tagging,"size , CPUE , abundance","transport (currents, etc), temperature, oxygen",not linked to a pressure,not linked to a pressure,not linked to a pressure,NA,density dependence,NA,NA,NA,NA,not linked to a pressure,NA,not linked to a pressure,"transport (currents, etc), other pressure",NA,NA,NA,NA,temperature,NA,NA,http://www.susitna-watanahydro.org/wp-content/uploads/2014/01/09.16_EUL_ISR_Draft.pdf,Pacific,,,,
